epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4798.65,1.96289,1.2727,1.36789,0.68887,0.48153,0.50532,0.22639,2.02308,1.23408,1.32344,0.0007922,0.0007922,0.0007922
63,4851.39,1.94179,1.25629,1.36065,0.68431,0.48145,0.50705,0.2287,2.00777,1.22607,1.31555,0.0007724,0.0007724,0.0007724
64,4913.55,1.9544,1.25585,1.36189,0.6918,0.47906,0.50749,0.22251,2.03071,1.23922,1.31935,0.0007526,0.0007526,0.0007526
65,4975.2,1.95137,1.2608,1.35445,0.69053,0.47098,0.5048,0.23293,1.97634,1.23391,1.30042,0.0007328,0.0007328,0.0007328
66,5103.98,1.93506,1.26682,1.36629,0.68917,0.46366,0.49551,0.22535,2.00226,1.25885,1.31357,0.000713,0.000713,0.000713
67,5156.89,1.95123,1.26032,1.36369,0.67946,0.47607,0.50373,0.22924,1.98684,1.24184,1.30027,0.0006932,0.0006932,0.0006932
68,5213.16,1.9382,1.24719,1.36033,0.68501,0.47622,0.50448,0.22961,1.99192,1.25472,1.30201,0.0006734,0.0006734,0.0006734
69,5266.04,1.92259,1.23639,1.35352,0.69086,0.47481,0.50505,0.2329,1.96674,1.23421,1.30338,0.0006536,0.0006536,0.0006536
70,5324.78,1.93287,1.24797,1.35125,0.68466,0.48153,0.50818,0.23499,1.97613,1.21581,1.30951,0.0006338,0.0006338,0.0006338
71,5377.51,1.92388,1.23585,1.3529,0.68152,0.48355,0.50761,0.2317,1.98654,1.22595,1.29957,0.000614,0.000614,0.000614
72,5430.12,1.92178,1.23105,1.34917,0.69763,0.47861,0.51074,0.23528,1.9673,1.2272,1.29963,0.0005942,0.0005942,0.0005942
73,5503.38,1.93549,1.2339,1.35198,0.69577,0.47786,0.50839,0.23471,1.96314,1.22408,1.29377,0.0005744,0.0005744,0.0005744
74,5559.66,1.95318,1.25252,1.35744,0.68648,0.48123,0.509,0.2309,2.00452,1.21408,1.3131,0.0005546,0.0005546,0.0005546
75,5625.59,1.92321,1.22023,1.34069,0.69475,0.48003,0.50947,0.23241,1.99525,1.22871,1.30069,0.0005348,0.0005348,0.0005348
76,5677.96,1.89248,1.22334,1.34672,0.68477,0.4825,0.51013,0.23817,1.95311,1.22874,1.28672,0.000515,0.000515,0.000515
77,5737.83,1.92176,1.22175,1.3496,0.67896,0.48938,0.51163,0.23541,1.98991,1.20115,1.30688,0.0004952,0.0004952,0.0004952
78,5790.2,1.91595,1.22301,1.34105,0.68271,0.49065,0.51427,0.23423,1.98856,1.20166,1.30493,0.0004754,0.0004754,0.0004754
79,5842.31,1.90615,1.21888,1.34538,0.70243,0.47577,0.50952,0.23558,1.97505,1.21938,1.29818,0.0004556,0.0004556,0.0004556
80,5896.34,1.93252,1.22399,1.34513,0.69629,0.48229,0.51062,0.23678,1.95879,1.20666,1.28515,0.0004358,0.0004358,0.0004358
81,5951.37,1.90984,1.22724,1.34812,0.70216,0.48571,0.51915,0.24199,1.96513,1.1952,1.29054,0.000416,0.000416,0.000416
82,6012.5,1.91128,1.22091,1.33919,0.69657,0.48803,0.51869,0.23904,1.98145,1.19293,1.28977,0.0003962,0.0003962,0.0003962
83,6070.09,1.89123,1.1971,1.33974,0.69285,0.48287,0.51471,0.23809,1.95448,1.20434,1.28757,0.0003764,0.0003764,0.0003764
